Acfissa	AnidsolfT	PH	Solfiti	Alcohol	Grad
10.4	20.0	3.18	1.06	11.00	2.00
9.4	20.0	3.15	0.50	10.50	1.00
10.1	18.0	3.22	0.65	9.30	2.00
9.1	17.0	3.32	0.71	10.50	2.00
9.1	17.0	3.32	0.71	10.50	2.00
10.4	13.0	3.22	0.76	11.40	2.00
10.4	13.0	3.22	0.76	11.40	2.00
9.0	104.0	3.23	0.57	9.70	1.00
7.0	24.0	3.48	0.53	9.00	1.00
7.5	42.0	3.31	0.64	9.00	1.00
8.2	57.0	3.30	0.47	9.00	2.00
9.0	121.0	3.23	0.58	9.20	1.00
9.1	30.0	3.24	0.60	9.30	1.00
7.4	34.0	3.51	0.56	9.40	1.00
7.4	34.0	3.51	0.56	9.40	1.00
7.4	40.0	3.51	0.56	9.40	1.00
9.3	142.0	3.22	0.55	9.40	1.00
9.5	145.0	3.24	0.53	9.40	1.00
9.4	143.0	3.28	0.55	9.40	1.00
7.7	45.0	3.34	0.53	9.50	1.00
9.3	125.0	3.14	1.22	9.50	1.00
12.4	43.0	3.02	0.61	9.50	1.00
7.9	38.0	3.40	0.53	9.50	1.00
8.2	26.0	3.37	0.46	9.60	1.00
8.3	40.0	3.39	0.61	10.00	2.00
9.9	14.0	3.34	0.52	10.00	1.00
10.2	28.0	3.14	0.61	10.40	1.00
7.5	102.0	3.35	0.80	10.50	1.00
7.5	102.0	3.35	0.80	10.50	1.00
7.3	87.0	3.33	0.83	10.50	1.00
7.3	87.0	3.33	0.83	10.50	1.00
10.5	24.0	3.15	0.90	11.00	2.00
10.5	24.0	3.15	0.90	11.00	2.00
11.6	14.0	3.05	0.74	11.50	2.00
8.6	68.0	3.30	0.48	9.40	1.00
9.5	144.0	3.27	0.55	9.40	1.00
7.1	26.0	3.45	0.53	9.50	1.00
11.2	50.0	3.10	0.58	10.40	1.00
7.6	90.0	3.15	0.57	9.10	1.00
7.6	66.0	3.39	0.61	9.40	1.00
7.5	94.0	3.14	0.58	9.10	1.00
10.8	60.0	2.99	1.18	10.20	1.00
9.4	73.0	3.47	0.90	10.20	2.00
9.6	23.0	3.24	0.56	10.50	1.00
6.9	115.0	3.22	0.56	9.50	1.00
8.8	69.0	3.22	0.50	10.00	2.00
8.8	69.0	3.22	0.50	10.00	2.00
9.2	139.0	3.21	0.57	9.50	1.00
8.3	34.0	3.36	0.61	10.50	1.00
8.6	62.0	3.03	1.17	9.00	1.00
8.4	26.0	3.06	1.06	9.10	2.00
9.6	147.0	3.24	0.53	9.40	1.00
8.6	29.0	3.08	0.46	9.50	1.00
7.4	37.0	3.43	0.76	9.70	2.00
8.2	133.0	3.38	0.99	9.80	1.00
7.0	63.0	3.60	0.81	9.90	1.00
8.6	31.0	3.40	0.48	9.90	1.00
9.6	46.0	3.11	0.92	10.00	2.00
9.7	91.0	3.29	0.62	10.10	1.00
9.7	91.0	3.29	0.62	10.10	1.00
11.0	18.0	3.30	0.71	10.50	1.00
8.3	60.0	3.31	0.70	10.80	2.00
10.0	21.0	3.26	0.93	11.80	2.00
12.0	26.0	3.07	0.60	10.40	1.00
9.7	88.0	3.26	0.66	10.10	1.00
8.1	24.0	3.38	0.46	9.60	1.00
10.5	70.0	3.21	0.69	10.50	2.00
7.6	43.0	3.48	0.64	9.10	1.00
8.8	52.0	3.44	0.64	9.20	1.00
7.3	13.0	3.49	0.52	9.20	1.00
9.4	13.0	3.22	0.62	9.20	1.00
7.7	54.0	3.42	0.74	9.20	1.00
8.6	119.0	3.09	0.52	9.30	1.00
9.8	152.0	3.25	0.48	9.40	1.00
9.5	26.0	3.18	0.51	9.50	1.00
8.3	16.0	3.18	0.60	9.50	2.00
9.8	151.0	3.15	0.53	9.50	1.00
7.0	72.0	3.55	0.60	9.50	1.00
9.2	115.0	3.23	0.59	9.50	1.00
8.5	58.0	3.34	0.70	9.60	2.00
7.6	38.0	3.47	0.66	9.60	2.00
9.3	16.0	3.28	0.70	9.70	1.00
10.7	49.0	3.03	0.81	9.70	2.00
9.1	14.0	3.29	0.54	9.70	1.00
11.2	60.0	3.16	0.58	9.80	2.00
8.5	58.0	3.33	0.54	9.80	1.00
9.9	77.0	3.28	0.51	9.80	1.00
9.4	45.0	3.19	0.73	10.00	2.00
9.5	44.0	3.12	0.74	10.00	2.00
11.9	18.0	3.09	0.63	10.00	2.00
11.6	15.0	3.21	0.67	10.20	2.00
11.0	19.0	3.31	0.88	10.50	2.00
12.0	42.0	2.92	0.68	10.50	2.00
10.3	13.0	3.28	0.83	11.50	1.00
10.2	41.0	3.23	0.66	12.50	2.00
10.2	41.0	3.23	0.66	12.50	2.00
8.4	119.0	3.15	0.50	9.10	1.00
8.0	122.0	3.22	1.07	9.70	1.00
8.3	40.0	3.29	0.55	9.50	1.00
8.3	40.0	3.29	0.55	9.50	1.00
8.3	40.0	3.29	0.55	9.50	1.00
7.1	14.0	3.40	0.52	10.20	1.00
7.8	48.0	3.41	0.74	9.20	2.00
7.8	53.0	3.43	0.74	9.20	2.00
7.3	121.0	3.37	0.49	9.40	1.00
10.7	15.0	3.18	0.62	9.50	1.00
12.5	49.0	3.05	0.57	9.60	1.00
9.4	48.0	3.14	0.56	9.70	1.00
10.6	70.0	3.16	0.52	9.90	1.00
11.6	8.0	3.14	0.70	9.90	2.00
11.5	27.0	3.11	0.97	10.10	2.00
9.8	28.0	3.24	0.65	10.80	2.00
9.0	96.0	3.36	0.53	10.00	1.00
7.1	25.0	3.38	0.72	10.60	2.00
9.0	98.0	3.32	0.63	9.50	2.00
8.6	28.0	3.28	0.60	10.00	2.00
8.6	8.0	3.27	0.58	11.00	1.00
8.6	8.0	3.27	0.58	11.00	1.00
8.8	130.0	3.23	0.54	9.60	1.00
10.8	38.0	3.24	0.71	10.80	1.00
10.8	38.0	3.24	0.71	10.80	1.00
9.1	106.0	3.08	0.59	9.10	1.00
9.0	110.0	3.08	0.61	9.20	1.00
8.9	106.0	3.10	0.53	9.20	1.00
8.3	19.0	3.26	0.61	9.30	1.00
7.4	121.0	3.37	0.49	9.40	1.00
10.5	24.0	3.20	0.89	9.40	2.00
8.8	122.0	3.26	0.61	9.50	1.00
8.8	111.0	3.30	0.60	9.50	1.00
9.9	61.0	3.21	0.50	9.50	1.00
9.9	61.0	3.21	0.50	9.50	1.00
9.5	37.0	3.17	0.67	9.60	1.00
7.6	71.0	3.52	0.65	9.70	1.00
10.9	14.0	3.30	0.75	9.80	2.00
10.9	14.0	3.30	0.75	9.80	2.00
8.8	110.0	3.29	0.60	9.80	1.00
11.5	28.0	3.03	0.93	9.80	2.00
8.6	50.0	3.37	0.91	9.90	2.00
9.6	49.0	3.19	0.70	10.00	2.00
10.2	14.0	3.17	0.42	10.00	2.00
9.8	33.0	3.42	0.90	10.00	2.00
8.8	52.0	3.31	0.53	10.50	2.00
10.8	66.0	3.17	0.76	10.80	2.00
10.3	51.0	3.16	0.72	11.50	2.00
8.6	43.0	3.33	0.60	10.40	2.00
8.8	88.0	3.19	0.52	9.20	1.00
6.8	45.0	3.38	0.64	10.10	2.00
6.8	45.0	3.38	0.64	10.10	2.00
8.9	30.0	3.34	0.64	10.50	1.00
8.2	22.0	3.39	0.68	10.60	1.00
8.2	22.0	3.39	0.68	10.60	1.00
8.8	57.0	3.39	0.54	9.20	1.00
9.0	104.0	3.10	0.56	9.20	1.00
7.5	110.0	3.26	0.77	9.40	1.00
7.5	28.0	3.45	0.78	9.50	2.00
8.3	86.0	3.37	0.62	9.50	1.00
7.3	23.0	3.61	0.96	9.90	2.00
7.3	23.0	3.61	0.96	9.90	2.00
8.3	87.0	3.48	0.53	10.00	1.00
9.7	33.0	3.27	0.66	10.00	2.00
10.4	48.0	3.38	0.86	9.90	1.00
10.1	52.0	3.22	0.64	10.00	2.00
11.6	51.0	3.38	0.86	9.90	1.00
9.0	28.0	3.33	0.65	10.40	2.00
7.8	38.0	3.43	0.65	9.00	2.00
7.8	38.0	3.43	0.65	9.00	2.00
8.3	63.0	3.17	0.62	9.10	2.00
8.3	24.0	3.31	0.59	9.20	2.00
10.8	17.0	3.08	0.67	9.30	2.00
10.8	17.0	3.08	0.67	9.30	2.00
9.0	90.0	3.16	0.70	9.40	1.00
9.0	122.0	3.32	0.62	9.40	1.00
9.0	125.0	3.31	0.61	9.40	1.00
9.7	83.0	3.28	0.82	9.60	1.00
9.0	23.0	3.39	0.63	9.80	1.00
10.0	89.0	3.22	0.68	10.00	1.00
9.4	31.0	3.19	0.70	10.10	2.00
7.8	11.0	3.37	0.69	10.10	2.00
10.6	88.0	3.08	0.57	10.10	2.00
9.3	26.0	3.34	0.75	10.20	2.00
9.3	31.0	3.26	0.65	10.20	1.00
9.8	30.0	3.23	0.58	10.50	2.00
9.3	56.0	3.31	0.67	10.60	2.00
11.5	15.0	3.01	0.83	11.80	2.00
6.9	65.0	3.53	0.72	9.25	2.00
6.9	65.0	3.53	0.72	10.50	2.00
6.9	33.0	3.68	0.71	9.60	1.00
10.8	37.0	3.22	0.78	10.00	2.00
10.6	84.0	3.06	0.57	10.10	1.00
8.0	46.0	3.43	0.62	10.70	2.00
11.5	20.0	3.09	0.53	11.00	1.00
8.1	14.0	3.36	0.53	9.60	1.00
8.1	13.0	3.36	0.49	9.50	1.00
7.1	29.0	3.67	0.73	9.60	1.00
9.5	39.0	3.29	0.81	10.90	2.00
8.9	145.0	3.16	0.88	9.20	1.00
8.9	148.0	3.17	0.93	9.20	1.00
11.4	19.0	3.12	0.82	9.30	2.00
10.6	18.0	3.04	1.05	9.40	1.00
10.6	18.0	3.04	1.06	9.40	1.00
7.8	18.0	3.40	0.55	9.60	2.00
10.7	32.0	2.89	0.50	9.60	1.00
10.7	32.0	2.89	0.50	9.60	1.00
9.5	31.0	3.23	0.56	10.10	2.00
8.9	22.0	3.37	0.58	10.30	1.00
8.8	42.0	3.54	0.66	10.50	1.00
8.8	42.0	3.54	0.66	10.50	1.00
11.1	21.0	3.17	0.53	10.50	1.00
11.1	47.0	3.12	1.02	10.60	2.00
11.8	19.0	3.11	0.62	10.80	2.00
11.1	22.0	3.17	0.66	11.20	2.00
13.3	43.0	3.04	0.68	11.40	2.00
9.9	19.0	3.27	0.82	11.70	2.00
13.8	15.0	3.02	0.93	12.00	2.00
9.8	45.0	3.24	0.60	9.70	2.00
9.6	74.0	3.30	0.64	10.40	2.00
9.6	74.0	3.30	0.64	10.40	2.00
11.5	15.0	2.98	0.70	9.20	2.00
7.7	39.0	3.48	0.62	9.30	1.00
6.9	27.0	3.69	0.91	9.40	2.00
6.9	27.0	3.69	0.91	9.40	2.00
9.0	86.0	3.38	0.62	9.50	2.00
9.1	78.0	3.38	0.62	9.50	1.00
9.0	75.0	3.35	0.57	9.70	1.00
9.0	75.0	3.35	0.57	9.70	1.00
12.6	29.0	2.88	0.82	9.80	2.00
10.6	21.0	3.26	0.86	10.70	2.00
9.4	14.0	3.29	0.52	10.70	2.00
9.4	14.0	3.29	0.52	10.70	2.00
9.9	76.0	3.14	0.55	9.40	1.00
8.2	55.0	3.34	0.75	8.70	2.00
8.8	15.0	3.36	0.49	9.10	1.00
8.8	15.0	3.36	0.49	9.10	1.00
11.3	15.0	2.94	0.66	9.20	2.00
11.3	15.0	2.94	0.66	9.20	2.00
11.3	16.0	3.09	0.80	9.30	1.00
10.4	19.0	3.25	0.63	9.50	1.00
9.2	65.0	3.28	0.58	9.60	1.00
9.2	47.0	3.26	0.67	9.60	1.00
10.1	46.0	3.32	0.67	9.70	2.00
12.5	15.0	2.99	0.87	10.20	1.00
9.6	28.0	3.14	0.60	10.20	1.00
9.6	28.0	3.14	0.60	10.20	1.00
9.5	32.0	3.26	0.56	10.60	2.00
11.5	49.0	3.18	0.65	11.00	2.00
11.5	49.0	3.18	0.65	11.00	2.00
9.5	17.0	3.21	0.73	11.00	2.00
11.9	27.0	3.06	0.68	11.30	2.00
11.4	24.0	3.11	0.99	13.30	2.00
11.3	19.0	3.22	0.69	13.40	2.00
9.1	44.0	3.31	0.55	9.50	2.00
9.2	48.0	3.31	0.54	9.50	2.00
9.8	59.0	3.37	0.71	11.50	2.00
9.8	59.0	3.37	0.71	11.50	2.00
7.5	92.0	3.20	0.58	9.20	1.00
7.5	92.0	3.20	0.58	9.20	1.00
8.3	11.0	3.48	0.49	11.00	1.00
9.0	38.0	3.35	0.60	9.30	1.00
10.3	73.0	3.28	0.70	9.50	2.00
8.4	54.0	3.37	0.49	9.90	1.00
9.1	28.0	3.41	0.87	10.30	2.00
9.1	28.0	3.41	0.87	10.30	2.00
9.8	20.0	3.31	0.79	10.70	2.00
10.4	76.0	3.17	0.85	12.00	2.00
10.4	76.0	3.17	0.85	12.00	2.00
9.1	9.0	3.18	0.60	10.90	2.00
8.7	15.0	3.32	0.60	9.00	2.00
8.7	15.0	3.32	0.60	9.00	2.00
9.9	40.0	3.39	0.62	9.40	1.00
9.9	40.0	3.39	0.62	9.40	1.00
9.9	40.0	3.39	0.62	9.40	1.00
10.5	47.0	3.30	0.56	9.60	1.00
10.0	58.0	3.18	0.56	10.10	2.00
10.0	58.0	3.18	0.56	10.10	2.00
8.9	47.0	3.38	0.77	10.50	2.00
8.9	47.0	3.38	0.77	10.50	2.00
10.0	90.0	3.15	0.65	8.50	1.00
7.0	110.0	3.30	1.17	10.20	1.00
7.0	110.0	3.30	1.17	10.20	1.00
7.5	94.0	3.38	0.77	9.40	1.00
10.0	88.0	3.15	0.43	9.40	1.00
8.7	33.0	3.36	0.45	9.40	1.00
9.5	68.0	3.46	0.63	9.50	1.00
9.5	68.0	3.46	0.63	9.50	1.00
11.9	37.0	3.05	0.56	10.00	1.00
10.6	78.0	3.19	0.70	10.00	2.00
12.6	20.0	3.07	0.82	10.30	2.00
11.9	21.0	3.17	0.84	12.20	2.00
9.2	77.0	3.15	0.51	9.40	1.00
12.0	24.0	3.14	0.71	10.90	2.00
6.9	83.0	3.45	0.52	9.40	2.00
7.2	31.0	3.67	0.80	9.70	1.00
12.3	46.0	3.20	0.80	10.20	2.00
11.2	53.0	3.06	0.72	11.00	2.00
10.9	65.0	3.22	0.78	10.10	1.00
7.5	98.0	3.45	0.62	9.50	1.00
12.6	41.0	3.21	0.76	11.30	2.00
10.4	16.0	3.16	0.63	8.40	1.00
12.4	24.0	3.04	0.60	9.30	2.00
9.1	28.0	3.36	0.86	9.40	2.00
9.1	26.0	3.35	0.83	9.40	2.00
10.3	14.0	3.19	0.62	9.50	2.00
10.3	12.0	3.19	0.63	9.50	2.00
10.0	15.0	3.20	0.78	9.60	1.00
10.0	15.0	3.20	0.78	9.60	1.00
6.6	124.0	3.47	0.53	9.90	1.00
6.6	124.0	3.47	0.53	9.90	1.00
8.3	28.0	3.51	0.72	10.00	1.00
10.0	62.0	3.18	0.63	10.20	2.00
10.0	62.0	3.18	0.63	10.20	2.00
10.4	48.0	3.22	0.64	10.30	2.00
12.4	69.0	3.12	0.75	10.40	2.00
11.4	41.0	3.15	0.63	10.50	2.00
12.8	28.0	3.20	0.77	10.80	2.00
12.8	28.0	3.20	0.77	10.80	2.00
11.9	35.0	3.10	0.61	10.80	2.00
11.9	35.0	3.10	0.61	10.80	2.00
8.1	49.0	3.43	0.72	11.10	2.00
12.7	19.0	3.14	0.57	11.40	1.00
12.7	19.0	3.14	0.57	11.40	1.00
8.9	14.0	3.44	0.52	11.50	1.00
12.5	68.0	3.15	0.82	10.40	2.00
9.2	69.0	2.74	2.00	9.40	1.00
10.4	54.0	3.15	0.89	9.90	2.00
10.4	54.0	3.15	0.89	9.90	2.00
11.5	23.0	3.28	0.97	10.10	2.00
11.5	23.0	3.28	0.97	10.10	2.00
11.5	23.0	3.28	0.97	10.10	2.00
9.6	92.0	3.30	0.65	10.10	1.00
11.9	20.0	3.24	0.76	10.40	2.00
12.5	72.0	3.10	0.73	10.50	1.00
13.0	47.0	3.05	0.61	10.60	1.00
12.0	30.0	3.18	0.63	10.80	2.00
11.2	17.0	3.22	0.62	11.20	1.00
10.0	33.0	3.36	0.80	10.50	2.00
9.6	71.0	3.50	0.57	9.70	1.00
9.6	71.0	3.50	0.57	9.70	1.00
12.5	29.0	3.11	1.36	9.80	2.00
12.7	25.0	3.03	0.57	9.90	1.00
6.8	58.0	3.46	0.72	10.20	1.00
6.8	58.0	3.46	0.72	10.20	1.00
12.0	49.0	3.10	0.76	10.30	2.00
12.8	35.0	3.10	0.60	10.40	2.00
11.7	23.0	3.21	0.69	10.90	2.00
9.3	87.0	3.24	0.62	9.70	1.00
9.1	59.0	3.28	0.54	9.60	1.00
10.3	25.0	3.12	0.59	9.30	2.00
10.3	25.0	3.12	0.59	9.30	2.00
8.9	109.0	3.27	0.57	9.30	1.00
10.3	75.0	3.18	0.64	9.40	1.00
8.9	112.0	3.38	0.61	9.50	1.00
9.1	38.0	3.28	0.59	9.70	1.00
9.2	93.0	3.48	0.54	9.80	1.00
10.4	53.0	3.24	0.67	9.90	1.00
10.4	22.0	3.26	0.74	11.20	2.00
10.4	22.0	3.26	0.74	11.20	2.00
12.5	27.0	3.08	0.87	10.90	1.00
10.4	24.0	3.16	0.69	9.00	1.00
12.2	21.0	3.12	1.18	9.20	2.00
11.4	21.0	3.17	0.62	9.20	2.00
11.7	15.0	3.19	0.43	9.20	1.00
12.7	22.0	3.00	0.70	9.30	2.00
11.2	13.0	3.17	0.71	9.50	2.00
10.0	32.0	3.28	0.56	10.00	2.00
12.1	54.0	3.03	0.66	10.20	1.00
11.9	23.0	3.15	0.85	10.40	2.00
12.2	64.0	3.10	0.61	10.50	2.00
11.6	98.0	3.20	0.95	9.20	1.00
8.5	151.0	3.31	1.14	9.30	1.00
12.6	41.0	3.17	0.68	9.80	2.00
9.8	155.0	3.41	0.67	11.20	1.00
10.1	86.0	3.43	0.64	11.30	1.00
12.5	14.0	3.25	0.74	11.90	2.00
15.0	24.0	3.07	0.84	9.20	2.00
15.0	24.0	3.07	0.84	9.20	2.00
10.8	27.0	3.05	0.64	9.50	1.00
11.1	101.0	3.13	0.51	9.50	1.00
9.4	72.0	3.31	0.53	9.70	1.00
11.5	55.0	3.26	0.88	11.00	1.00
8.2	58.0	3.50	0.65	9.30	2.00
12.3	14.0	3.19	0.44	9.60	1.00
12.3	14.0	3.19	0.44	9.60	1.00
13.4	21.0	3.16	0.67	9.70	2.00
11.8	80.0	3.30	0.76	10.70	2.00
11.6	67.0	3.32	0.92	10.80	2.00
8.7	81.0	3.48	0.74	11.60	2.00
8.7	81.0	3.48	0.74	11.60	2.00
10.9	17.0	3.07	0.56	11.70	2.00
10.9	17.0	3.07	0.56	11.70	2.00
11.5	47.0	3.26	1.11	11.00	2.00
11.5	37.0	3.32	0.91	11.00	2.00
9.9	43.0	3.29	0.58	9.00	1.00
13.3	40.0	3.06	0.49	9.00	1.00
9.7	53.0	3.14	0.61	9.40	1.00
12.3	18.0	3.16	0.49	9.50	1.00
12.3	18.0	3.16	0.49	9.50	1.00
10.7	34.0	3.28	0.98	9.90	2.00
11.9	42.0	3.16	0.61	10.30	1.00
11.9	42.0	3.16	0.61	10.30	1.00
12.0	38.0	3.22	0.60	13.00	2.00
13.2	35.0	3.10	0.56	9.00	2.00
13.2	35.0	3.10	0.56	9.00	2.00
13.2	16.0	2.98	0.54	9.40	1.00
10.0	26.0	3.48	0.91	9.70	1.00
11.4	17.0	3.13	0.70	10.20	1.00
11.9	32.0	3.12	0.78	10.70	2.00
14.3	15.0	2.86	0.79	8.40	2.00
11.6	47.0	3.25	0.57	9.00	1.00
12.4	99.0	3.16	1.00	11.50	2.00
9.9	71.0	3.31	0.71	9.80	1.00
9.9	71.0	3.31	0.71	9.80	1.00
12.9	24.0	3.09	0.68	10.90	2.00
8.6	134.0	3.32	1.07	9.30	1.00
13.3	53.0	3.05	0.81	9.50	2.00
13.7	43.0	3.06	0.80	10.00	2.00
13.7	43.0	3.06	0.80	10.00	2.00
14.0	47.0	3.01	0.81	10.80	2.00
12.9	35.0	3.20	0.66	12.00	2.00
10.0	50.0	3.16	0.69	9.20	2.00
10.0	50.0	3.16	0.69	9.20	2.00
13.5	77.0	3.18	0.77	13.00	1.00
9.9	82.0	3.16	0.75	8.80	1.00
9.9	82.0	3.16	0.75	8.80	1.00
8.1	61.0	3.60	0.72	9.80	1.00
11.6	101.0	3.13	0.53	10.00	1.00
13.0	47.0	3.30	0.68	12.70	2.00
13.0	47.0	3.30	0.68	12.70	2.00
12.8	42.0	3.07	0.73	10.00	2.00
12.8	42.0	3.07	0.73	10.00	2.00
10.6	23.0	3.12	0.66	9.20	1.00
10.1	65.0	3.32	0.64	10.40	2.00
15.6	43.0	2.95	0.68	11.20	2.00
10.7	99.0	3.22	0.68	9.30	1.00
10.2	95.0	3.18	0.77	9.00	2.00
10.2	95.0	3.18	0.77	9.00	2.00
15.5	23.0	2.92	0.74	11.10	1.00
15.5	23.0	2.92	0.74	11.10	1.00
15.6	23.0	2.92	0.74	11.10	1.00
